geneid,log2FoldChange,padj_a,diff.log2.fc,padj_b,label
ENSMUSG00000035621,1.00879326,3.15E-08,-0.258274453,1.20E-06,
ENSMUSG00000033819,1.008363722,5.82E-07,-0.361450254,8.91E-05,
ENSMUSG00000034290,1.007994903,7.71E-17,-0.536760014,0.008317638,
ENSMUSG00000029502,1.007963055,4.03E-09,-1.386495305,0.00040738,
ENSMUSG00000032604,1.007959075,0.000165046,0.310385592,0.001905461,
ENSMUSG00000027087,1.007078901,0.157261243,0.008309379,7.24E-08,
ENSMUSG00000019848,1.006154131,3.50E-12,0.48812199,7.94E-12,
ENSMUSG00000029434,1.005986923,0.001436506,0.211893472,0.008912509,
ENSMUSG00000021701,1.003658011,0.000655311,1.283330772,2.00E-12,
ENSMUSG00000034801,1.002817084,0.000484228,0.505611651,0.003548134,
ENSMUSG00000043535,1.0002458,0.370387921,0.448891188,3.02E-07,
ENSMUSG00000021097,1.000049849,3.99E-10,-0.296423893,0.00724436,
ENSMUSG00000025582,0.999934124,0.11670471,0.23858052,0.00074131,
ENSMUSG00000018661,0.9990394,8.66E-06,0.139421256,2.29E-06,
ENSMUSG00000087400,0.998802241,0.454249619,1.829987979,5.01E-14,
ENSMUSG00000070520,0.998375632,5.07E-10,0.309218476,0.001258925,
ENSMUSG00000004846,0.997836606,0.00051568,-0.510508251,9.12E-05,
ENSMUSG00000005871,0.997507164,0.074366646,0.670119756,3.98E-16,
ENSMUSG00000032513,0.997259408,0.216388553,-0.968795533,0.000562341,
ENSMUSG00000026848,0.997006198,0.974412674,-0.14569696,1.82E-06,
ENSMUSG00000059708,0.996033852,0.135451871,1.152993376,0.00162181,
ENSMUSG00000050390,0.993009483,0.724094861,-0.054574657,1.55E-09,
ENSMUSG00000026179,0.992575989,0.004678287,-0.566875451,0.000194984,
ENSMUSG00000066880,0.992003105,0.023660366,-0.922767595,3.55E-07,
ENSMUSG00000034168,0.99144941,0.023498466,-0.267349639,0.000512861,
ENSMUSG00000028608,0.991098611,2.86E-06,-0.278312782,1.82E-05,
ENSMUSG00000028706,0.989763234,0.026810553,-1.00676484,0.004677351,
ENSMUSG00000029924,0.989638779,0.224058609,-1.219239745,0.00074131,
ENSMUSG00000026150,0.988472414,4.51E-05,0.827945322,0.002238721,
ENSMUSG00000024754,0.987929413,1.29E-07,-1.394654596,2.04E-07,
ENSMUSG00000064289,0.987852234,0.117133867,0.96359858,2.04E-06,
ENSMUSG00000002020,0.986805341,0.561503984,-0.07281329,3.16E-12,
ENSMUSG00000092416,0.98680491,0.377576251,1.187743866,0.001202264,
ENSMUSG00000033454,0.986046826,0.000867005,0.527811005,5.01E-17,
ENSMUSG00000019254,0.985776154,0.663812702,0.163590176,1.26E-05,
ENSMUSG00000035517,0.985273214,0.077233051,-0.386878013,7.41E-08,
ENSMUSG00000023883,0.984441088,0.005673237,-0.316129758,5.01E-05,
ENSMUSG00000028195,0.982776294,1.57E-05,1.536617605,2.51E-84,
ENSMUSG00000018340,0.982656372,7.02E-06,-0.240074849,7.41E-09,
ENSMUSG00000059263,0.981911449,0.000534841,0.56280153,0.001096478,
ENSMUSG00000058881,0.981322487,0.115072603,0.232775739,6.31E-12,
ENSMUSG00000035863,0.980965438,0.001198111,-0.029145096,3.98E-13,
ENSMUSG00000032525,0.980787128,7.03E-10,0.694855685,0.006309573,
ENSMUSG00000035666,0.980723735,0.000299566,0.371564123,0.00616595,
ENSMUSG00000029775,0.97962272,0.4521299,-0.478454715,1.23E-06,
ENSMUSG00000020817,0.978050505,0.136832026,1.282443248,0.001905461,
ENSMUSG00000025731,0.976497224,0.473908571,0.174299047,0.00676083,
ENSMUSG00000060477,0.976376762,3.11E-11,0.101285929,0.007762471,
ENSMUSG00000042364,0.976286118,0.207232922,0.277039712,0.000537032,
ENSMUSG00000002489,0.975862906,0.487397629,-0.359182416,9.77E-05,
ENSMUSG00000038250,0.974541037,0.044497007,-0.95700744,0.000954993,
ENSMUSG00000020668,0.973625841,0.929331239,-0.168647644,1.26E-18,
ENSMUSG00000040435,0.973039668,0.926777926,0.834932802,3.16E-24,
ENSMUSG00000038733,0.972279094,3.23E-06,0.512155948,9.77E-09,
ENSMUSG00000061306,0.971386423,7.28E-37,0.481541026,1.58E-12,
ENSMUSG00000049755,0.971190358,0.016059643,-0.280602079,0.000104713,
ENSMUSG00000044465,0.970629929,0.04834124,-0.284085861,0.00691831,
ENSMUSG00000012889,0.970237125,8.22E-05,0.798567775,0.003388442,
ENSMUSG00000037824,0.969421178,2.76E-09,-0.281910013,1.15E-08,
ENSMUSG00000052957,0.968747712,0.783802782,-0.893875886,0.000389045,
ENSMUSG00000034640,0.967160695,0.174057031,0.751105565,3.31E-06,
ENSMUSG00000020456,0.965644598,1.94E-06,-0.499083333,3.63E-05,
ENSMUSG00000042211,0.963638138,7.12E-15,-0.883505193,6.17E-06,
ENSMUSG00000003731,0.962808522,0.852532676,0.318542133,0.009120108,
ENSMUSG00000033256,0.962605806,0.82367018,0.347052643,0.003715352,
ENSMUSG00000042050,0.962181395,2.44E-08,-0.273651121,3.98E-09,
ENSMUSG00000035914,0.960087051,0.238634285,0.5471389,0.000691831,
ENSMUSG00000039367,0.959403156,3.96E-08,0.088944796,0.000162181,
ENSMUSG00000045639,0.95928622,0.646201483,1.404248736,0.009332543,
ENSMUSG00000028483,0.959207302,4.19E-05,-0.884759377,0.001949845,
ENSMUSG00000014353,0.958888956,0.000280903,-0.938285417,2.69E-07,
ENSMUSG00000030826,0.957127964,0.000549526,-0.50071939,0.005248075,
ENSMUSG00000042508,0.956884104,0.045202863,1.468814611,3.98E-15,
ENSMUSG00000041124,0.955343249,2.34E-06,0.70516372,0.001023293,
ENSMUSG00000097472,0.954835441,0.299446301,0.70316885,7.08E-06,
ENSMUSG00000021196,0.954470976,5.40E-15,0.19814118,6.61E-07,
ENSMUSG00000004947,0.954116343,0.003884811,-0.378529252,4.07E-06,
ENSMUSG00000000148,0.952926282,2.46E-08,-0.48387541,1.41E-07,
ENSMUSG00000020064,0.952192869,2.34E-15,-0.121419845,3.16E-17,
ENSMUSG00000039116,0.952176247,0.439978828,0.556175613,0.002089296,
ENSMUSG00000026289,0.951804982,7.86E-05,0.240880904,0.001698244,
ENSMUSG00000027475,0.951714856,0.106046776,0.094987375,0.003467369,
ENSMUSG00000078671,0.950137853,7.69E-09,0.249058648,0.002818383,
ENSMUSG00000023977,0.949351344,2.78E-15,-0.259602835,0.000776247,
ENSMUSG00000025795,0.949240055,5.03E-06,-0.280649581,2.57E-05,
ENSMUSG00000021820,0.94857283,0.002032615,0.476844384,2.45E-08,
ENSMUSG00000035597,0.948431126,7.45E-14,2.978273155,2.00E-55,
ENSMUSG00000027677,0.946597637,3.08E-22,0.595857292,7.08E-05,
ENSMUSG00000028975,0.946182318,0.911589491,0.236108628,1.62E-06,
ENSMUSG00000057342,0.94532743,0.454861257,-0.061729369,7.24E-09,
ENSMUSG00000051339,0.944568588,1.21E-05,-1.674872379,4.68E-05,
ENSMUSG00000003810,0.943999401,0.000328856,0.258640217,0.000812831,
ENSMUSG00000028085,0.943969652,0.003519739,-0.836975338,0.00851138,
ENSMUSG00000022206,0.943244582,0.146896368,-0.500677585,0.000158489,
ENSMUSG00000020821,0.943192327,1.56E-06,0.311601896,2.51E-16,
ENSMUSG00000040482,0.942673125,0.270013911,-0.180321061,6.31E-11,
ENSMUSG00000010277,0.942611493,0.52818629,-0.196885365,8.13E-09,
ENSMUSG00000040479,0.94231012,0.834212971,0.215098255,0.001584893,
ENSMUSG00000020580,0.941629632,0.686376458,1.214844344,5.75E-05,
ENSMUSG00000038342,0.941496246,0.087480361,-0.330573933,6.46E-08,
ENSMUSG00000043090,0.941481684,0.006523392,0.457996019,5.50E-05,
ENSMUSG00000021959,0.939712666,0.446719988,1.00998079,3.02E-07,
ENSMUSG00000038861,0.939215245,1.73E-05,-1.437652276,0.000131826,
ENSMUSG00000031357,0.939172275,1.49E-12,-0.025122405,0.004677351,
ENSMUSG00000039230,0.937382747,4.04E-09,0.035621298,0.002398833,
ENSMUSG00000052712,0.935188949,2.11E-14,1.689725748,0.008128305,
ENSMUSG00000005069,0.935026239,0.255192477,0.003167407,0.000269153,
ENSMUSG00000068823,0.934917478,0.871935426,-0.030873877,7.08E-05,
ENSMUSG00000097141,0.934414548,0.1240692,-0.711196779,0.004570882,
ENSMUSG00000034190,0.934241358,0.185915062,0.239004789,0.005754399,
ENSMUSG00000021838,0.933476097,3.23E-06,-0.537660719,1.91E-06,
ENSMUSG00000021033,0.933237677,0.000955646,-0.251871139,0.008709636,
ENSMUSG00000031446,0.932949371,0.000386935,-0.280454326,0.000112202,
ENSMUSG00000020198,0.932499143,0.002639743,0.400283603,1.58E-11,
ENSMUSG00000039536,0.931028666,0.794025003,0.477286876,2.88E-06,
ENSMUSG00000039477,0.93011548,0.002177,-0.889803219,2.51E-19,
ENSMUSG00000067931,0.929699935,0.673927281,1.363208014,1.58E-80,
ENSMUSG00000034269,0.928113862,0.389016868,-0.446218945,0.000562341,
ENSMUSG00000055024,0.926802588,0.00028808,0.079602887,0.000630957,
ENSMUSG00000020105,0.926613473,0.007845704,1.296262501,0.001122018,
ENSMUSG00000021248,0.923209608,0.852859611,0.639290672,6.31E-12,
ENSMUSG00000031604,0.922380144,0.899239705,0.103735018,0.001949845,
ENSMUSG00000020390,0.921973636,0.345507211,0.1721915,0.001548817,
ENSMUSG00000020954,0.921829639,0.032648465,0.152245823,0.000104713,
ENSMUSG00000037204,0.920657619,0.001386053,-0.122753925,0.001995262,
ENSMUSG00000051341,0.919871785,0.692213049,0.924341911,3.16E-60,
ENSMUSG00000042626,0.919426442,0.507463928,-1.740651151,0.001023293,
ENSMUSG00000029922,0.919390356,0.308812529,0.100204298,0.001548817,
ENSMUSG00000004896,0.919342761,6.77E-06,0.528333702,0.000501187,
ENSMUSG00000041264,0.918544656,0.238989727,0.06238394,2.69E-06,
ENSMUSG00000051403,0.918192569,1.97E-06,0.175068182,0.005011872,
ENSMUSG00000031993,0.91816189,6.91E-14,-0.37602898,0.000295121,
ENSMUSG00000005124,0.917810955,7.51E-05,1.311127925,7.94E-19,
ENSMUSG00000031519,0.916653392,1.11E-05,0.255731877,0.007585776,
ENSMUSG00000021686,0.916216032,0.6929669,1.241427254,0.006025596,
ENSMUSG00000049550,0.915424492,8.85E-12,1.814899006,1.66E-08,
ENSMUSG00000054021,0.914737167,0.085212223,1.683057526,0.005128614,
ENSMUSG00000013089,0.913328694,0.786507517,-0.512643138,0.0001,
ENSMUSG00000021911,0.913314143,0.965026793,-0.086008668,1.38E-05,
ENSMUSG00000026171,0.913255657,0.001685862,0.003389637,0.000831764,
ENSMUSG00000057396,0.913252608,0.990618952,1.427236884,2.51E-07,
ENSMUSG00000031232,0.911772485,0.607425638,0.321107142,5.01E-12,
ENSMUSG00000000489,0.911132481,0.051244373,1.201537021,0.006309573,
ENSMUSG00000056228,0.910104349,0.991441158,1.786063275,0.001380384,
ENSMUSG00000047407,0.909814738,0.018764749,1.111546203,1.26E-16,
ENSMUSG00000039456,0.909718907,1.01E-10,0.859438937,0.000186209,
ENSMUSG00000071267,0.908574657,0.249930867,1.108052677,0.000707946,
ENSMUSG00000059851,0.908561668,0.981184565,-0.543022034,0.005888437,
ENSMUSG00000036817,0.908442793,2.27E-23,-0.474468262,3.16E-15,
ENSMUSG00000001418,0.907749579,8.87E-10,-0.644993044,1.10E-10,
ENSMUSG00000036275,0.906543401,0.120948286,-0.253448593,1.00E-11,
ENSMUSG00000054648,0.905296518,0.9423715,1.136066672,1.05E-05,
ENSMUSG00000021285,0.905089653,0.00051394,0.814283008,0.006606934,
ENSMUSG00000033697,0.904508605,0.00019786,-0.059624511,5.13E-05,
ENSMUSG00000024143,0.904166449,1.31E-05,-0.447678505,0.000001,
ENSMUSG00000037126,0.903695494,0.013344466,-0.887009044,0.000794328,
ENSMUSG00000026074,0.902803834,0.025317145,1.493783494,8.71E-05,
ENSMUSG00000027993,0.901487281,0.022639627,0.000593692,0.006025596,
ENSMUSG00000020087,0.90024444,0.117282689,-0.176023342,0.007762471,
ENSMUSG00000038365,0.900169091,0.001921833,0.980899758,0.007585776,
ENSMUSG00000031577,0.899921375,0.011835007,0.01712054,0.000870964,
ENSMUSG00000045594,0.899824869,6.30E-05,-0.254581783,0.005495409,
ENSMUSG00000020621,0.899392638,4.47E-06,0.38766305,0.000131826,
ENSMUSG00000022505,0.899235583,0.000268738,-0.13868157,7.94E-12,
ENSMUSG00000038884,0.898986607,0.000825943,-0.447909753,0.002754229,
ENSMUSG00000002102,0.898856866,0.190305373,-0.511962819,2.51E-14,
ENSMUSG00000009894,0.898509045,6.35E-07,0.214637118,5.01E-13,
ENSMUSG00000030058,0.897540893,0.990179577,-0.10704709,3.47E-05,
ENSMUSG00000034591,0.897434064,0.326265786,-0.831321218,5.01E-07,
ENSMUSG00000035228,0.897117203,0.779062351,1.3882806,0.007943282,
ENSMUSG00000060802,0.896428292,0.000741097,0.104378439,0.008317638,
ENSMUSG00000046879,0.895173222,0.05520822,2.083220003,4.07E-07,
ENSMUSG00000046556,0.894376669,0.00043724,-0.381566341,0.005888437,
ENSMUSG00000107478,0.894322157,0.88555615,-0.505452932,0.001174898,
ENSMUSG00000046897,0.894001725,0.108810736,1.216177868,0.005754399,
ENSMUSG00000021752,0.893599176,0.654866931,1.207768878,0.001862087,
ENSMUSG00000036241,0.892400277,0.380616099,-0.273539839,3.16E-13,
ENSMUSG00000070738,0.891344246,2.55E-13,1.566118405,0.005248075,
ENSMUSG00000054381,0.89080804,0.737107707,0.195225053,0.000588844,
ENSMUSG00000071477,0.889396539,0.627118785,-0.414095354,4.90E-07,
ENSMUSG00000030400,0.888511889,0.639906457,-0.65110051,2.82E-07,
ENSMUSG00000048410,0.888087305,0.806246809,0.182561295,0.005370318,
ENSMUSG00000037369,0.886467513,0.059217967,1.852424137,0.005128614,
ENSMUSG00000010054,0.885428315,0.321756925,1.27677395,0.005754399,
ENSMUSG00000026490,0.885230749,0.646731619,0.207662288,5.37E-05,
ENSMUSG00000001472,0.884908953,0.000437578,1.646445696,1.58E-29,
ENSMUSG00000025373,0.884436462,0.056320407,-0.099280555,0.007943282,
ENSMUSG00000074918,0.883244731,0.807877149,0.241687917,0.001230269,
ENSMUSG00000041297,0.88296142,0.45707913,-3.988067562,0.001,
ENSMUSG00000027012,0.882634505,0.002653953,0.237148672,0.007079458,
ENSMUSG00000048878,0.881843053,1.51E-06,0.934979956,1.55E-09,
ENSMUSG00000036893,0.881175145,0.7920025,0.403615671,0.007762471,
ENSMUSG00000032745,0.881055737,0.296065215,1.205366922,0.00616595,
ENSMUSG00000002897,0.881030933,0.25165113,0.075632073,5.50E-10,
ENSMUSG00000062040,0.880766138,0.014337741,1.142353735,0.000371535,
ENSMUSG00000087174,0.880762441,0.953334756,1.314635362,9.12E-05,
ENSMUSG00000024664,0.88072124,0.000344609,-0.030683039,5.62E-08,
ENSMUSG00000026932,0.8799367,0.107692778,-0.631035173,0.007079458,
ENSMUSG00000022477,0.879242754,5.89E-10,-0.240283532,7.94E-13,
ENSMUSG00000003518,0.877501166,0.003671624,0.183299784,0.000323594,
ENSMUSG00000074576,0.877310368,0.444852274,1.013200502,0.000158489,
ENSMUSG00000028423,0.876244833,0.910622028,-0.460357294,6.31E-23,
ENSMUSG00000036667,0.876126578,0.062394586,-0.773253483,1.05E-05,
ENSMUSG00000069520,0.875700727,2.90E-09,-0.825363744,2.75E-07,
ENSMUSG00000022967,0.87436685,0.528225916,-0.035527663,0.000812831,
ENSMUSG00000029913,0.873217868,0.767558017,0.93864516,0.000446684,
ENSMUSG00000055850,0.871598439,0.190057033,0.55685443,0.003981072,
ENSMUSG00000043323,0.871476115,0.008496158,-1.3518499,0.001737801,
ENSMUSG00000012429,0.871019626,0.050186651,0.254909275,0.008912509,
ENSMUSG00000026604,0.87078133,0.877187191,-0.121631429,3.63E-05,
ENSMUSG00000023118,0.869541134,0.000200078,-0.745199097,0.000354813,
ENSMUSG00000079084,0.869485739,0.00215428,1.191589762,3.16E-17,
ENSMUSG00000039671,0.868846392,0.008231686,-1.369662829,8.13E-07,
ENSMUSG00000024527,0.868462939,0.039980515,0.686399416,0.008317638,
ENSMUSG00000030016,0.867763775,0.112501257,1.892503438,0.000446684,
ENSMUSG00000035370,0.867005518,0.477637435,0.057730748,0.000977237,
ENSMUSG00000032952,0.866846121,0.106816946,-0.027245833,0.003548134,
ENSMUSG00000029455,0.866139924,0.009214293,0.403739032,7.94E-05,
ENSMUSG00000029190,0.865680505,1.29E-08,0.042211915,0.008128305,
ENSMUSG00000052214,0.864448539,0.614985775,-0.707773811,0.00676083,
ENSMUSG00000034602,0.863243003,0.000152225,-0.078361243,2.14E-05,
ENSMUSG00000027082,0.86175199,0.929182132,0.395681726,0.000870964,
ENSMUSG00000005533,0.860136537,1.51E-07,-0.769783475,0.000562341,
ENSMUSG00000036036,0.860006687,0.02199082,1.267778359,2.51E-12,
ENSMUSG00000028443,0.859972733,0.792279733,0.172408678,1.66E-05,
ENSMUSG00000029729,0.859435852,0.001943416,0.423303258,1.32E-08,
ENSMUSG00000021453,0.859378766,0.032119443,0.186858982,0.008709636,
ENSMUSG00000035901,0.858954425,0.078794913,-0.586362608,3.63E-06,
ENSMUSG00000057551,0.858887731,0.002978427,0.774779824,0.001122018,
ENSMUSG00000071074,0.858726287,9.69E-07,-1.461009916,0.001479108,
ENSMUSG00000060149,0.858674447,0.167834787,1.270810582,3.16E-11,
ENSMUSG00000030691,0.8585751,5.27E-06,-0.574876661,0.000446684,
ENSMUSG00000027309,0.857456442,2.14E-11,-0.806746669,0.000251189,
ENSMUSG00000022940,0.855974755,2.44E-05,-0.412602818,0.000489779,
ENSMUSG00000094441,0.855941048,0.060907045,1.077535981,3.16E-11,
ENSMUSG00000032997,0.855500607,2.19E-08,-0.244609465,5.25E-05,
ENSMUSG00000022228,0.855086894,2.32E-10,1.059973608,0.003548134,
ENSMUSG00000041977,0.854639947,0.007983039,-2.265732217,3.02E-05,
ENSMUSG00000032531,0.854435619,0.663723403,-0.569931393,6.03E-10,
ENSMUSG00000056770,0.853947448,0.52268312,1.460247069,0.009120108,
ENSMUSG00000041235,0.853781497,0.041474454,-0.224871358,5.01E-07,
ENSMUSG00000024327,0.853253519,0.058629007,0.424681382,1.00E-11,
ENSMUSG00000031833,0.852529694,0.028890603,-0.306959184,1.20E-07,
ENSMUSG00000006335,0.85208052,0.835846032,-0.178712856,0.007585776,
ENSMUSG00000029291,0.851965208,2.60E-07,-0.36767758,0.00057544,
ENSMUSG00000041530,0.84992538,0.489456563,1.274132614,0.001698244,
ENSMUSG00000036281,0.849745302,0.832501568,0.357475216,0.009332543,
ENSMUSG00000053754,0.848885365,9.66E-09,-0.242470066,0.008709636,
ENSMUSG00000029004,0.848882654,3.78E-08,2.08975684,0.00040738,
ENSMUSG00000050310,0.848692755,2.26E-07,1.283015942,7.94E-11,
ENSMUSG00000037210,0.847865013,0.016413468,0.690314751,0.004168694,
ENSMUSG00000029475,0.847714098,0.208538801,0.980656896,4.17E-05,
ENSMUSG00000018931,0.847323832,0.000130212,-0.088546985,0.006606934,
ENSMUSG00000047036,0.846616883,1.59E-06,1.295213749,3.80E-08,
ENSMUSG00000069729,0.845504616,0.009198108,-1.496988434,2.45E-09,
ENSMUSG00000015143,0.844377335,0.705749866,0.002497777,9.55E-08,
ENSMUSG00000025738,0.843495027,0.665713576,-0.790474809,2.29E-05,
ENSMUSG00000026626,0.843161677,0.730986202,-0.179686148,0.002951209,
ENSMUSG00000028557,0.842813033,2.10E-16,0.198932724,0.003388442,
ENSMUSG00000022897,0.841067131,0.010902915,1.05955608,7.41E-05,
ENSMUSG00000024197,0.840909173,2.53E-07,-0.482595492,1.26E-07,
ENSMUSG00000027598,0.840792923,0.458509566,-0.001237088,0.000363078,
ENSMUSG00000031921,0.839164476,0.426709943,0.85652165,0.003630781,
ENSMUSG00000073411,0.838958995,0.003715193,-0.772421904,1.15E-06,
ENSMUSG00000014039,0.838950282,0.004745919,0.384769657,0.00691831,
ENSMUSG00000049907,0.837582673,0.717391912,1.252653733,0.007413102,
ENSMUSG00000046862,0.837249309,0.008730277,0.584112954,0.001659587,
ENSMUSG00000000827,0.836576707,0.362266522,0.61247979,6.76E-07,
ENSMUSG00000005510,0.836047464,0.261345582,0.35491174,0.005623413,
ENSMUSG00000040007,0.832636939,0.066211643,-1.104554606,7.08E-06,
ENSMUSG00000062761,0.832057354,0.535160538,-0.388281758,0.005370318,
ENSMUSG00000039357,0.831843361,0.001771644,0.14157981,0.005495409,
ENSMUSG00000062931,0.83142215,0.237093071,-0.496306677,0.000389045,
ENSMUSG00000117975,0.831069612,0.81865773,0.054832605,0.000630957,
ENSMUSG00000001995,0.830714384,1.66E-06,0.14403274,4.17E-05,
ENSMUSG00000054199,0.829545898,0.828519164,-0.137350602,7.24E-05,
ENSMUSG00000031748,0.829296691,1.38E-05,-0.113725083,0.002238721,
ENSMUSG00000024319,0.829261642,7.03E-10,-0.691236228,0.000467735,
ENSMUSG00000033972,0.829170737,0.010051479,1.94819742,6.92E-05,
ENSMUSG00000026933,0.828285726,0.685936527,0.409266087,4.37E-05,
ENSMUSG00000005371,0.827895352,1.21E-05,0.905169021,2.45E-06,
ENSMUSG00000020863,0.827163392,0.991941006,1.890494672,7.41E-10,
ENSMUSG00000055319,0.827046012,0.938480836,0.02721379,3.80E-05,
ENSMUSG00000041890,0.826382916,0.349844739,0.382756891,0.000812831,
ENSMUSG00000004317,0.825285543,0.00097937,-0.117781568,9.12E-06,
ENSMUSG00000029578,0.825114432,0.063821879,0.572211191,7.41E-05,
ENSMUSG00000017144,0.82471453,0.310088979,2.18947997,3.55E-05,
ENSMUSG00000024068,0.824275495,0.06877761,0.072078456,4.79E-06,
ENSMUSG00000034820,0.824118765,0.469573626,0.025817199,3.24E-07,
ENSMUSG00000061288,0.824024178,0.048083067,0.337485508,0.009332543,
ENSMUSG00000021273,0.823299976,0.058326992,-0.620981049,0.003890451,
ENSMUSG00000079523,0.822723641,0.721721921,0.448996647,3.98E-14,
ENSMUSG00000020546,0.822450248,0.620190207,-1.248570881,0.001513561,
ENSMUSG00000025616,0.821884731,0.199745338,0.399316472,0.001174898,
ENSMUSG00000024073,0.821838266,0.003020269,0.432584915,0.00851138,
ENSMUSG00000033883,0.821137663,0.340026313,2.017030885,1.00E-28,
ENSMUSG00000030339,0.820737621,0.340800133,0.323929657,0.000316228,
ENSMUSG00000034032,0.819314465,0.583891126,0.084133756,0.00691831,
ENSMUSG00000044456,0.818961045,0.00013605,0.178070745,0.000758578,
ENSMUSG00000022321,0.8174311,0.36349213,1.607623659,7.59E-05,
ENSMUSG00000040852,0.817380816,0.215187619,0.400564264,0.005248075,
ENSMUSG00000001062,0.816990997,7.20E-05,-0.823280396,0.000154882,
ENSMUSG00000038495,0.816776571,7.66E-14,-0.168666337,4.27E-07,
ENSMUSG00000025035,0.816677532,0.599243061,1.066535395,4.17E-07,
ENSMUSG00000034908,0.816633576,8.32E-08,-0.431577374,2.29E-06,
ENSMUSG00000026889,0.815063115,0.02799644,-0.10752348,5.25E-07,
ENSMUSG00000032590,0.812936342,2.91E-12,-0.565682249,1.15E-05,
ENSMUSG00000019927,0.811876104,0.609922568,1.172911851,3.80E-07,
ENSMUSG00000057230,0.811548747,0.131239034,-0.032433779,0.000912011,
ENSMUSG00000059820,0.811281148,0.76472085,0.082812528,0.007079458,
ENSMUSG00000051510,0.809595357,0.105688043,0.257663862,0.001862087,
ENSMUSG00000030530,0.8076563,3.27E-06,0.043488454,0.000338844,
ENSMUSG00000042178,0.806839756,0.001463953,-0.565197073,0.002454709,
ENSMUSG00000025234,0.806465932,0.087785701,0.212571201,0.006309573,
ENSMUSG00000035851,0.806464813,0.112734977,0.991917302,1.00E-22,
ENSMUSG00000024048,0.806373413,0.555088346,0.206956238,1.26E-60,
ENSMUSG00000022089,0.805622907,0.892110307,0.372250381,0.006456542,
ENSMUSG00000056579,0.805442569,1.32E-08,1.797855858,1.00E-11,
ENSMUSG00000049878,0.805146809,7.35E-06,0.399148821,4.68E-09,
ENSMUSG00000022887,0.804989287,5.41E-11,-0.241836044,0.002454709,
ENSMUSG00000006998,0.804497955,0.066477308,0.107984672,1.95E-06,
ENSMUSG00000017831,0.804420671,2.55E-06,0.071915179,0.00030903,
ENSMUSG00000029763,0.803725512,2.02E-07,0.136720165,4.37E-06,
ENSMUSG00000044791,0.803426905,0.173172096,1.03875621,2.04E-06,
ENSMUSG00000074305,0.802220141,0.715961855,1.552284329,1.58E-14,
ENSMUSG00000022367,0.801682552,0.833069012,1.142217123,3.24E-06,
ENSMUSG00000030852,0.801678372,1.36E-08,-0.305155437,1.58E-08,
ENSMUSG00000000753,0.799445213,0.70337433,0.46101831,3.16E-11,
ENSMUSG00000017858,0.799252324,0.357127275,-0.386606835,5.50E-08,
ENSMUSG00000036644,0.798055845,2.21E-13,0.351761564,5.37E-10,
ENSMUSG00000020744,0.797945117,0.343385045,-0.126710847,0.001862087,
ENSMUSG00000024603,0.797042179,0.032877614,-0.656393885,0.000812831,
ENSMUSG00000024487,0.796630325,0.274685355,1.186696791,0.00144544,
ENSMUSG00000038784,0.795581819,0.775088315,1.448509888,0.00616595,
ENSMUSG00000049323,0.794449737,0.055594823,0.350283692,6.31E-06,
ENSMUSG00000078429,0.793791313,2.02E-12,0.31358344,0.004168694,
ENSMUSG00000005802,0.793722639,0.03624771,-0.129266102,1.35E-07,
ENSMUSG00000037243,0.792485271,0.533290893,0.508458072,0.005370318,
ENSMUSG00000037525,0.791772253,0.108983986,1.017263138,0.00020893,
ENSMUSG00000052560,0.791631509,0.041564775,1.113027602,0.000436516,
ENSMUSG00000042608,0.790402596,0.037895444,-0.629824443,0.006025596,
ENSMUSG00000011158,0.789983186,0.005098222,-0.581351442,0.000616595,
ENSMUSG00000039384,0.78965113,0.759428804,1.021637533,2.51E-13,
ENSMUSG00000038369,0.789386614,0.755665639,2.301704744,6.31E-13,
ENSMUSG00000026319,0.788726225,0.0119929,-0.544642636,0.003019952,
ENSMUSG00000022895,0.788724925,0.00218431,0.375306624,6.61E-06,
ENSMUSG00000039852,0.78836516,0.000123912,-0.453903757,2.24E-05,
ENSMUSG00000038025,0.788336761,0.400414797,0.324240327,2.40E-05,
ENSMUSG00000034252,0.786693746,0.636189501,0.642634822,0.001584893,
ENSMUSG00000029613,0.784957345,0.070312826,0.863626725,7.08E-07,
ENSMUSG00000021036,0.784917354,0.206719221,0.963707879,0.002691535,
ENSMUSG00000026535,0.784634545,0.003139684,1.139181164,0.003090295,
ENSMUSG00000029432,0.784534759,2.69E-05,1.956149824,0.002511886,
ENSMUSG00000028487,0.78402534,0.099484292,1.599788357,0.007585776,
ENSMUSG00000022961,0.783896257,9.33E-08,-0.225017053,3.98E-13,
ENSMUSG00000033478,0.783810082,0.021117605,-0.48132225,0.00162181,
ENSMUSG00000028023,0.782966646,0.58398046,2.006291594,7.41E-05,
ENSMUSG00000021917,0.782683231,0.988278442,-0.084961543,8.71E-09,
ENSMUSG00000032727,0.782336332,0.736168571,0.41577544,7.08E-05,
ENSMUSG00000003226,0.781883465,2.01E-05,0.535295304,5.89E-10,
ENSMUSG00000020697,0.78182059,0.001157624,-0.43005354,7.41E-10,
ENSMUSG00000037029,0.781619999,0.189158516,0.486679671,2.00E-13,
ENSMUSG00000020592,0.781530293,0.332159723,-0.068499882,0.008912509,
ENSMUSG00000051721,0.780085325,0.005310635,1.334087256,0.003090295,
ENSMUSG00000051335,0.779684205,0.21847826,-0.988201789,0.004570882,
ENSMUSG00000040446,0.77862263,0.37752445,-0.768748631,8.13E-05,
